test msessage: hello
hello:0 CDS : 0
hello:1 CDS : 375
hello:2 CDS : 369
hello:3 CDS : 356
hello:4 CDS : 356
hello:5 CDS : 370
hello:6 CDS : 308
hello:7 CDS : 366
hello:8 CDS : 59
hello:9 CDS : 28
hello:10 CDS : 29
hello:11 CDS : 29
hello:12 CDS : 30
hello:13 CDS : 31
hello:14 CDS : 371
hello:15 CDS : 442
hello:16 CDS : 42
hello:17 CDS : 46
hello:18 CDS : 445
hello:19 CDS : 440
hello:20 CDS : 436
hello:21 CDS : 440
hello:22 CDS : 639
hello:23 CDS : 678
hello:24 CDS : 755
hello:25 CDS : 374
hello:26 CDS : 444
hello:27 CDS : 691
hello:28 CDS : 429
hello:29 CDS : 414
hello:30 CDS : 422
hello:31 CDS : 416
hello:32 CDS : 441
hello:33 CDS : 435
hello:34 CDS : 781
hello:35 CDS : 680
hello:36 CDS : 544
hello:37 CDS : 625
hello:38 CDS : 623
hello:39 CDS : 629
hello:40 CDS : 642
hello:41 CDS : 612
hello:42 CDS : 647
hello:43 CDS : 614
hello:44 CDS : 649
hello:45 CDS : 619
hello:46 CDS : 595
hello:47 CDS : 402
hello:48 CDS : 437
hello:49 CDS : 439
